PERSON_ID,MAJOR_PERSON,SPECILTY
0,文秘,能熟练地操作各种办公软件，熟悉社保购买，工伤办理，居居住证办理等政府办事流程
1,计算机应用技术,掌握WINDOWS、LINUX的基本操作，熟悉计算机网络。熟练使用office办公软件。
2,计算机科学与技术,"公司计算机软硬件的日常维护及管理；ERP系统的管理与维护，培训(Lotus Notes,金蝶K3)等。网路和服务器升级，备份、恢复和问题解决； 交换机，防火墙，文件、邮件服务器和域服务器的管理； 优化网络系统，规划调整设备配置，完成路由器/交换机/防火墙的配置施工，参与服务器与应用系统的管理，确保系统的稳定可靠运行； 电脑周边设备（打印机、扫描仪、传真机、复印机、投影仪等）安装与维护； 熟悉弱电系统：广播、监控、红外线报警、门禁，考勤等系统维护。"
3,工程管理,"1、熟悉工厂物控工作流程，及工厂管理流程。 2、熟悉办公软件ERP和金碟K3等应用软件的操作应用。 3、具备较强的团队意识,协作精神,服从安排。 4、具备较强的工作主动性,能吃苦,决定的事立即付诸行动是我的优点。 "
4,生物工程,主修课程大学英语、大学物理、分子生物学、生物技术制药、药物分析、工业微生物遗传育种学原理与应用、生物分离技术、食品工程原理、发酵工艺、、生物化学、有机化学、无机及分析化学、微生物学、  细胞生物学、经济管理学、法律基础等
5,会计学,"1.理论知识比较抓实,大学期间曾获过一等奖学金,二等奖学金,拥有会计从业资格证书及初级会计专业技术资格，熟悉国家财经制度和相关政策法规，及最新的会计制度.2.实践经验比较过硬,从手工做帐到电脑登帐都有接触,且较熟练使用用友财务软件"
6,金融学（含保险学）,本人熟悉外贸跟单及跟单QC的基本作业流程。同时具备工厂跟单的工作经验，故能很好地从事外贸及跟单业务。
7,机械设计及理论,能熟练车床、铣床的基本操作。熟练AutoCAD、PRE/O、CAM等应用软件
8,会计学,"专业知道扎实,牢固,工作认真负责"
9,过程装备与控制工程,精通office办公软件，熟悉计算机网络。能熟练使用Pro/e、Solidworks、Auto cad、电子图版等绘图软件应用等机械专业软件，熟悉Adina 、Fluent、Oringin等软件进行分析计算和数据处理。
10,会计学,能熟练操作办公软件和财务软件，熟悉会计的专业****公司注册的基本流程。
11,国际经济与贸易,※ 企业人力资源管理师资格证书国家职业资格二级)※ ISO****:****质量管理体系内审员资格证****公司内部运作、行政人事管理程序，有较强的商务协作能力
12,会计学,"参加了全国会计师职称考试,取得了初级会计师职称参加了“计算机办公软件操作”的培训，并取得了电脑操作中级证书参加了“珠算等级考试”的学习，取得了三级证书参加了“会计电算化”培训，取得会计电算化中级证书参加了“防伪税控机操作”培训，取得结业证书"
13,计算机网络与多媒体,高级办公软件
14,会计学,对工作负责，认真仔细。
