RECRUIT_ID,MAJOR_RECRUIT,DETAIL
0,旅游管理,"岗位职责：电话沟通客户,机票订购服务 任职条件：中专及以上学历，年龄****-****岁。    1.计算机操作熟练,打字速度****字/分以上    2.普通话标准,声音圆润,记忆力好,有良好服务意识    3.能吃苦耐劳,性格大方,善于通过电话与人沟通,责任感强    4.工作积极主动、认真、负责有良好的团队合作精神和沟通理解能力"
1,汽车工程,"****-****岁，持B牌或以上驾驶证，3年以上驾龄，有1年以上拖车驾驶经验,有深户担保。"
2,软件工程,此招聘信息由系统根据单位搜索条件自动生成！
3,电子材料与元器件,"从事仓管工作2-3年,熟悉电子元器件,责任心强,工作认真细致,能吃苦耐劳.电脑熟练,会金蹀登帐者优先.会财务知识者优先!急聘!无经验者请勿扰!"
4,市场营销,"职位名称：销售助理职位概要：    协助销售部经理完成销售部门日常事务工作。岗位职责：    1、协助销售部经理和销售人员输入、维护、汇总销售数据；    2、进行成本核算，提供商务报表及部门销售业绩的统计、查询、管理；    3、依据统计整理的数据资料，向主管提交参考建议与方案，用于改善经营活动；    ****公司订单，合同的执行并归档管理；   ****公司做好售后服务工作；    6、接待来访客户及综合协调日常行政事务。任职要求：    1、****岁以下，市场营销或相关专业大专以上学历。    2、对市场营销工作有深刻的了解, 三年以上电子产品相关工作经验；    3、熟练操作办公软件和办公自动化设备。    4、坦诚、自信，高度的工作热情；     5、有良好的团队合作精神，有敬业精神；     6、较强的观察力和应变能力，良好的判断力和沟通能力。"
5,会计学,"会计专业的应届毕业生或有工作经验的从业人员均可,有意****公司咨询,谢谢."
6,【计算机科学与技术】,"1)有一定的相关产品跟单经验,能及时反馈相关的产品问题!2)略懂英文,有相关的产品知识!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)中专或高中以上文化程度7)有手袋,腰带,发饰等工作经验的优先考虑****公司目前在深圳关外平湖华南城,无意在关外工作,请勿投简历!"
7,【机械工程】,机械类专业毕业，优秀应届毕业生或有1年以上机械装配经验，机械知识基础扎实，上进心强（熟悉运用CAD、SOLIDWORKS绘图，有过夹具设计经验更佳）                      试用期：****-****元/月
8,会计学,中专以上学历，有会计证，有一定工作经验，为人诚恳，责任心强，良好的稳定性和忠诚度。已婚即深户者优先。
9,机械设计及理论,机械设计及相关专业大专以上学历，有三年机械行业设计开发工作经验，懂机械原理、结构，熟悉液压及气动原理，有独立设计、维修油压系统工作经验，熟练操作ＰＲＯＥ、ＣＡＤ。
10,会计电算化,出纳1名，性别女，会计专业毕业，有会计证优先，相关工作经历1年以上，有意者请电话联系面试。
11,企业管理,擅于与人沟通，责任心强，有丰富的企业管理知识和在制造加工型企业从事行政管理的经验。
12,电子材料与元器件,"有成品核算和往来账处理经验,会做全盘帐，熟悉电子材料（有电子厂工作经验,并接触过电子件）往来账处理即可。（持深圳会计证）注:此职位在关外上班(公明工厂),无意到关外工作者勿投!"
13,物流管理,1、负责业务员的订单报价，做合同及售后服务； 2、负责商务订单入库，出库事宜   能力要求：1、男女不限，年龄****-****岁，专业：财务或电子商务 2、一年以上工作经验；3、熟练使用电脑，会用财务软件K3，个人责任心强； 4、有业务跟单经验，深户优先；
14,会计学,1、招聘1名，年龄在****岁以上，持有《(会*证》，大专以上学历，财会专业，金蝶财务软件操作熟练；2、财务工作经验二年以上，熟练会计全盘帐目处理、银行税务操作及工资核算等会计工作，具有工程项目会计工作者优先；3、为人诚恳、善良，工作认真细心，责任心强；
15,英语,本中心立足深圳六年，所在片区小学初中林立，六年来生源稳定！现因发展需要，招聘英语及语文教师各2名。tAr深圳教师招聘网   要求：女，师范类专业毕业，有教学经验，口语好，喜欢教师行业，喜欢和小孩子打交道，并且愿意在深圳长期工作者！tAr深圳教师招聘网   待遇：试用期一个月，试用期过后底薪加提成，****元左右/月，包食宿。tAr深圳教师招聘网   工作地点：罗湖区田贝四路金丽豪苑鹏利阁****楼tAr深圳教师招聘网   联系电话：******  ******  葛老师tAr深圳教师招聘网   乘车路线：****、****、****、****、****、****、1路直接到田贝四路下即可，下车后电话联系。tAr深圳教师招聘网    特别提醒广大求职者：深圳一般的民办学校及辅导中心工资待遇都在****左右，如有说得特别玄乎的，或者要交押金和服装费之类的，纯属骗人，切勿上当受骗！
